Country,Schengen,Eurozone,Accession Date,Population,Land Area
Austria,True,True,1995-01-01,8751820,82409
Belgium,True,True,1957-03-25,11498519,30280
Bulgaria,False,False,2007-01-01,1036848,108560
Croatia,False,False,2013-07-01,4164783,55960
Cyprus,False,True,2004-05-01,1187756,9251
Czech Republic,True,False,2004-05-01,10625250,77240
Denmark,True,False,1973-01-01,5754356,42430
Estonia,True,True,2004-05-01,1306788,42390
Finland,True,True,1995-01-01,5542517,303890
France,True,True,1957-03-25,65233271,547557
Germany,True,True,1957-03-25,82293457,348560
Greece,True,True,1981-01-01,11142161,128900
Hungary,True,False,2004-05-01,9688847,90530
Ireland,False,True,1973-01-01,4803748,68890
Italy,True,True,1957-03-25,59290969,294140
Latvia,True,True,2004-05-01,1929938,62200
Lithuania,True,True,2004-05-01,2876475,62674
Luxembourg,True,True,1957-03-25,590321,2590
Malta,True,True,2004-05-01,432089,320
Netherlands,True,True,1957-03-25,17084459,33720
Poland,True,False,2004-05-01,38104832,306230
Portugal,True,True,1986-01-01,10291196,91590
Romania,False,False,2007-01-01,19590634,230170
Slovakia,True,True,2004-05-01,5449816,48088
Slovenia,True,True,2004-05-01,2081260,20140
Spain,True,True,1986-01-01,46397452,498800
Sweden,True,False,1995-01-01,9982709,410340
United Kingdom,False,False,1973-01-01,66573504,241930
